date,open,high,close,low,volume,price_change,p_change,ma5,ma10,ma20,v_ma5,v_ma10,v_ma20,turnover
2018-02-22,19.66,21.05,19.54,19.21,0.0,-0.21,-1.06,19.814,20.395,26.14,209333.99,609269.43,711112.49,0.0
2018-01-31,19.8,20.13,19.75,19.25,0.0,-0.1,-0.5,20.068,20.75,27.086,370249.76,738676.07,743175.89,0.0
2017-12-29,19.71,20.04,19.85,19.32,0.0,0.08,0.41,20.172,20.914,27.98,568658.56,827394.91,797972.87,0.0
2017-11-30,20.16,20.4,19.77,19.65,214075.03,-0.39,-1.94,20.314,21.111,28.976,982556.66,893707.81,864462.22,0.49
2017-10-31,20.81,20.93,20.16,20.04,832594.94,-0.65,-3.12,20.544,21.359,30.014,1076571.16,930757.43,972951.47,1.89
2017-09-29,19.9,21.0,20.81,19.51,804578.81,0.54,2.66,20.976,23.523,31.048,1009204.86,926676.1,1000909.49,1.83
2017-04-20,20.58,20.73,20.27,19.83,992044.0,-0.29,-1.41,21.432,25.214,32.082,1107102.38,907307.72,1040771.75,2.3
2017-03-31,20.92,21.04,20.56,19.13,2069490.5,-0.36,-1.72,21.656,26.955,34.9,1086131.26,862098.57,1062392.26,4.79
2017-02-28,22.41,22.43,20.92,20.8,684147.56,-1.4,-6.27,21.908,28.651,38.148,804858.96,727857.69,1085802.87,1.58
2017-01-26,23.09,23.2,22.32,22.01,495763.44,-0.77,-3.33,22.174,30.299,40.374,784943.7,760497.49,1109270.66,1.35
2016-12-30,21.39,23.88,23.09,20.85,1294066.38,1.7,7.95,26.07,31.884,42.547,844147.34,812955.56,1173087.45,3.52
2016-11-30,21.32,21.64,21.39,21.0,887188.44,-0.43,-1.97,28.996,33.422,44.452,707513.06,747675.72,1206842.48,2.42
2016-10-28,22.33,22.58,21.82,21.74,663129.0,-0.43,-1.93,32.254,35.045,46.172,638065.87,768550.82,1243278.91,1.81
2016-09-30,41.58,42.46,22.25,21.51,584571.25,-19.55,-46.77,35.394,36.84,47.741,650856.42,835216.62,1239635.81,1.59
2016-08-31,37.61,42.96,41.8,37.61,791781.62,4.08,10.82,38.424,38.668,49.014,736051.29,1015145.5,1257584.98,3.88
2016-07-29,37.54,38.8,37.72,37.4,610895.0,0.04,0.11,37.698,38.572,49.18,781763.79,1075142.89,1288577.08,2.99
2016-06-30,37.48,38.5,37.68,36.95,539952.5,0.16,0.43,37.848,38.95,49.571,787838.37,1174235.79,1280843.09,2.65
2016-05-31,37.0,37.89,37.52,36.81,727081.75,0.12,0.32,37.836,42.844,50.124,899035.77,1262685.95,1307862.57,3.56
2016-04-29,38.2,38.59,37.4,36.59,1010545.56,-0.77,-2.02,38.286,47.645,50.439,1019576.82,1443748.05,1288821.53,5.01
2016-03-31,38.45,40.17,38.17,37.66,1020344.12,-0.3,-0.78,38.912,50.449,51.734,1294239.71,1458043.83,1242377.38,5.06
2016-02-29,37.0,40.5,38.47,37.0,641267.94,0.85,2.26,39.446,53.209,52.99,1368521.99,1533219.33,1210604.79,3.18
2016-01-29,39.72,40.35,37.62,35.77,1095939.5,-2.15,-5.41,40.052,55.481,54.417,1560633.2,1666009.24,1202450.85,5.44
2015-12-31,41.0,41.69,39.77,38.7,1329787.0,-0.76,-1.88,47.852,57.298,55.071,1626336.12,1718007.0,1160787.08,6.61
2015-11-30,40.5,48.0,40.53,39.57,2383860.0,-0.31,-0.76,57.004,58.641,55.522,1867919.27,1644055.0,1112603.51,12.39
2015-10-30,41.0,44.5,40.84,40.25,1391755.5,-0.66,-1.59,61.986,59.36,55.951,1621847.95,1500024.47,1019427.46,7.23
2015-09-30,75.2,88.25,41.5,39.5,1601824.0,-35.12,-45.84,66.972,59.787,56.285,1697916.67,1502011.28,1032510.99,8.32
2015-08-31,84.8,94.5,76.62,69.56,1424454.12,-8.91,-10.42,70.91,60.191,55.792,1771385.27,1387450.4,974864.23,14.41
2015-07-31,65.56,91.0,85.53,62.36,2537702.75,20.09,30.7,66.744,57.404,53.306,1809677.87,1353039.19,928349.04,25.67
