date,open,high,close,low,volume,price_change,p_change,ma5,ma10,ma20,v_ma5,v_ma10,v_ma20,turnover
2018-05-16,5.51,6.18,5.79,5.44,0.0,0.29,5.27,6.084,7.22,9.111,0.0,447179.93,889779.7,0.0
2018-04-27,6.34,6.94,5.5,5.44,0.0,-0.79,-12.56,6.344,7.515,9.419,0.0,566633.19,946055.4,0.0
2018-03-30,5.98,6.67,6.29,5.72,0.0,0.26,4.31,6.636,7.887,9.844,54212.48,834977.01,1046588.86,0.0
2018-02-28,6.81,6.95,6.03,5.5,0.0,-0.78,-11.45,7.166,8.222,10.157,239475.8,1114032.09,1139971.34,0.0
2018-01-31,7.1,7.65,6.81,6.69,0.0,-0.28,-3.95,7.92,8.587,10.467,610782.7,1194809.06,1266611.06,0.0
2017-12-29,7.02,7.39,7.09,6.63,0.0,0.13,1.87,8.356,9.146,10.76,894359.85,1315838.99,1390176.25,0.0
2017-11-30,8.97,9.61,6.96,6.91,271062.38,-1.98,-22.15,8.686,9.661,10.971,1133266.37,1390139.09,1505371.72,8.83
2017-10-31,9.82,10.18,8.94,8.75,926316.62,-0.86,-8.78,9.138,10.205,11.13,1615741.55,1433929.84,1676338.07,30.18
2017-09-29,8.88,10.48,9.8,8.8,1856534.5,0.81,9.01,9.278,10.476,11.085,1988588.37,1430711.16,1715053.49,60.49
2017-08-31,8.73,9.65,8.99,8.32,1417885.75,0.25,2.86,9.254,10.705,10.983,1778835.41,1399681.94,1699248.95,57.42
2017-07-31,9.12,9.33,8.74,7.82,1194532.62,-0.48,-5.21,9.936,11.002,11.11,1737318.14,1332379.48,1751223.68,48.38
2017-06-30,9.52,10.55,9.22,8.4,2683438.25,-0.42,-4.36,10.636,11.323,11.226,1647011.81,1325477.61,1862817.79,108.67
2017-05-31,9.69,11.2,9.64,8.11,2790550.75,-0.04,-0.41,11.272,11.801,11.343,1252118.13,1258200.71,1962822.7,111.73
2017-04-28,12.3,12.85,9.68,9.19,807769.69,-2.72,-21.93,11.674,12.092,11.292,872833.95,1165910.58,1954767.49,32.34
2017-03-31,12.24,13.08,12.4,11.82,1210299.38,0.16,1.31,12.156,12.346,11.29,1020528.46,1338413.06,2044715.59,48.46
2017-02-28,12.3,12.41,12.24,11.44,743001.0,-0.16,-1.29,12.068,12.374,11.269,927440.83,1464513.5,2098193.63,29.75
2017-01-26,11.73,12.5,12.4,10.22,708969.81,0.75,6.44,12.01,12.28,11.728,1003943.4,1620604.35,2081666.33,28.39
2016-12-30,12.37,12.94,11.65,11.22,894129.88,-0.44,-3.64,12.33,12.055,13.266,1264283.29,1918746.3,2123704.64,35.8
2016-11-30,11.88,13.19,12.09,11.81,1546242.25,0.13,1.09,12.51,11.693,14.198,1458987.21,1999395.81,2168582.22,61.98
2016-10-28,12.2,12.49,11.96,11.91,744861.19,0.01,0.08,12.536,11.261,15.096,1656297.66,1998815.97,2160216.55,29.86
2016-09-30,14.0,14.0,11.95,11.74,1125513.88,-2.05,-14.64,12.68,11.217,15.828,2001586.18,2170067.88,2143075.42,45.11
2016-08-25,12.54,14.39,14.0,12.01,2010669.25,1.45,11.55,12.55,11.129,16.486,2237265.3,2400157.96,2128746.32,80.6
2016-07-29,12.44,13.25,12.55,11.92,1867649.5,0.33,2.7,11.78,10.885,17.126,2573209.3,2667444.69,2098123.41,74.86
2016-06-30,12.75,13.36,12.22,11.9,2532794.5,-0.46,-3.63,10.876,10.491,17.878,2539804.4,2743624.39,2048187.9,101.52
2016-05-31,11.16,12.72,12.68,9.9,2471303.75,1.38,12.21,9.986,10.233,18.558,2341334.28,2751018.11,1962577.55,99.11
2016-04-29,10.1,11.7,11.3,9.72,2303909.5,1.15,11.33,9.754,10.163,19.303,2338549.58,2731873.76,1894501.15,92.39
2016-03-31,8.0,10.55,10.15,7.63,3690389.25,2.12,26.4,9.708,11.176,19.943,2563050.63,2542728.3,1810365.57,147.99
2016-02-29,7.7,9.98,8.03,7.56,1700625.0,0.26,3.35,9.99,14.476,20.604,2761680.08,2328662.99,1686034.98,68.2
2016-01-29,11.5,11.58,7.77,7.31,1540443.88,-3.75,-32.55,10.106,16.703,21.393,2947444.38,2337768.64,1688612.14,61.78
2015-12-31,11.08,13.17,11.52,10.2,2457380.25,0.45,4.07,10.48,18.93,21.894,3160701.95,2321617.13,1642501.38,98.55
2015-11-30,11.25,13.0,11.07,10.11,3426414.75,-0.49,-4.24,10.572,20.439,22.358,3125197.95,2116082.96,1579728.47,153.64
2015-10-30,8.7,13.79,11.56,8.6,4683536.5,2.95,34.26,12.644,21.842,22.794,2522405.98,1857334.68,1508839.38,210.0
2015-09-30,10.29,10.29,8.61,7.17,2629446.5,-1.03,-10.69,18.962,23.366,22.948,1895645.9,1528802.13,1325272.34,117.9
2015-08-31,11.96,13.6,9.64,7.11,2606731.75,-2.34,-19.53,23.3,25.265,23.382,1728092.9,1352751.41,1335412.97,116.88
2015-07-31,19.29,19.29,11.98,11.81,2279860.25,-9.45,-44.1,27.38,26.882,23.783,1482532.3,1174136.99,1365783.84,102.23
2015-06-02,19.83,21.99,21.43,19.4,412454.88,-21.72,-50.34,30.306,28.443,23.839,1106967.96,1057128.54,1322440.88,18.46
2015-05-29,30.3,48.55,43.15,28.22,1549736.12,12.85,42.41,31.04,28.709,23.294,1192263.39,1078002.84,1369367.91,152.6
2015-04-30,30.04,35.2,30.3,29.19,1791681.5,0.26,0.87,27.77,26.731,21.693,1161958.36,1043406.98,1333968.21,176.43
2015-03-31,26.64,32.4,30.04,25.44,1378928.75,3.43,12.89,27.23,26.082,20.685,977409.91,1039455.64,1285175.28,135.78
2015-02-27,24.98,26.98,26.61,24.38,402038.56,1.51,6.02,26.384,24.858,19.881,865741.67,963385.64,1266356.89,39.59
2015-01-30,26.8,26.8,25.1,23.15,838932.0,-1.7,-6.34,26.58,24.276,19.084,1007289.11,1043373.98,1266172.2,82.61
2014-12-31,26.51,31.6,26.8,24.98,1398211.0,-0.8,-2.9,26.378,23.745,18.432,963742.29,1160344.09,1277758.84,137.68
2014-11-28,25.68,30.7,27.6,24.38,868939.25,1.79,6.93,25.692,22.53,17.689,924855.59,1121742.56,1224056.92,85.57
2014-10-31,27.6,28.45,25.81,22.3,820587.56,-1.78,-6.45,24.934,21.499,16.913,1101501.36,1318074.53,1232767.98,80.8
2014-09-30,25.78,28.78,27.59,24.0,1109775.75,3.5,14.53,23.332,20.683,16.206,1061029.61,1557430.7,1233865.72,109.28
2014-08-21,23.3,25.55,24.09,22.48,621197.88,0.72,3.08,21.972,19.234,15.33,1079458.84,1587753.23,1206059.87,61.17
2014-07-31,23.59,25.58,23.37,21.2,1203777.5,-0.44,-1.85,21.112,17.878,14.698,1356945.89,1660732.99,1204356.3,118.54
2014-06-30,17.83,25.88,23.81,17.41,1752168.12,6.01,33.76,19.368,16.655,14.126,1318629.52,1624529.45,1191090.21,172.54
2014-05-30,18.67,21.94,17.8,17.68,618228.81,-2.99,-14.38,18.064,15.287,13.6,1534647.7,1530894.93,1239483.24,61.27
2014-02-24,19.7,21.74,20.79,18.31,1201921.88,1.0,5.05,18.034,14.903,13.327,2053831.79,1569328.13,1380115.85,119.12
2014-01-30,14.65,20.41,19.79,14.3,2008633.12,5.14,35.09,16.496,13.891,12.98,2096047.61,1488970.43,1393261.9,199.07
2013-12-31,16.0,16.58,14.65,13.99,1012195.69,-2.64,-15.27,14.644,13.119,12.54,1964520.09,1395173.6,1382728.2,100.31
2013-11-29,17.0,19.5,17.29,14.71,2832259.0,-0.36,-2.04,13.942,12.847,12.269,1930429.37,1326371.29,1376652.7,310.37
2013-10-31,13.31,20.89,17.65,12.69,3214149.25,4.55,34.73,12.51,12.326,11.841,1527142.15,1147461.42,1301330.92,352.22
2013-09-30,10.46,13.98,13.1,10.44,1413001.0,2.57,24.41,11.772,11.728,11.434,1084824.48,910300.75,1182360.44,154.84
2013-08-30,11.45,12.08,10.53,10.5,1350995.5,-0.61,-5.48,11.286,11.426,11.238,881893.24,824366.51,1151980.52,148.05
2013-07-31,10.13,11.83,11.14,9.66,841742.12,1.01,9.97,11.594,11.518,11.097,825827.11,747979.61,1099955.6,92.24
2013-06-28,13.87,14.15,10.13,9.29,815822.88,-3.83,-27.44,11.752,11.597,11.022,722313.21,757650.96,1112713.93,89.96
2013-05-31,10.67,14.3,13.96,10.6,1002560.88,3.29,30.83,12.142,11.912,11.03,767780.69,948071.55,1087553.01,110.56
2013-04-26,12.08,12.3,10.67,10.66,398344.81,-1.4,-11.6,11.684,11.75,10.844,735777.02,1190903.56,1050868.26,52.8
2013-03-29,11.87,13.7,12.07,11.52,1070664.88,0.14,1.17,11.566,12.068,11.005,766839.79,1297553.38,1076170.01,141.92
2013-02-28,12.01,12.81,11.93,11.66,324172.62,-0.15,-1.24,11.442,11.961,11.104,670132.11,1370282.79,1058551.0,42.97
2013-01-31,11.75,14.27,12.08,11.75,1043160.25,0.41,3.51,11.442,11.69,11.218,792988.71,1426934.1,1046461.1,138.28
