date,open,high,close,low,volume,price_change,p_change,ma5,ma10,ma20,v_ma5,v_ma10,v_ma20,turnover
2018-05-17,18.88,19.35,18.64,17.83,0.0,-0.04,-0.21,18.296,19.127,19.79,0.0,247933.77,459190.68,0.0
2018-04-27,19.36,20.46,18.79,17.5,0.0,-0.62,-3.19,18.348,19.263,19.932,0.0,348135.55,527013.35,0.0
2018-03-30,17.05,19.5,19.41,16.75,0.0,2.33,13.64,18.352,19.54,19.995,77709.87,428092.68,597218.99,0.0
2018-02-28,17.58,17.58,17.08,15.98,0.0,-0.48,-2.73,18.606,19.547,20.052,256509.94,480809.1,685046.34,0.0
2018-01-31,18.95,19.44,17.56,17.32,0.0,-1.34,-7.09,19.314,19.783,20.073,368824.62,545232.2,718496.61,0.0
2017-12-29,18.81,19.57,18.9,18.28,0.0,0.09,0.48,19.958,19.978,20.077,495867.53,630867.5,767805.27,0.0
2017-11-30,20.8,20.81,18.81,18.3,388549.34,-1.87,-9.04,20.178,20.085,20.015,696271.09,671188.85,829576.97,2.36
2017-10-31,20.7,22.33,20.68,20.47,894000.38,0.06,0.29,20.728,20.305,19.909,778475.49,698097.35,898815.54,5.43
2017-09-29,20.67,21.6,20.62,20.14,561573.38,-0.16,-0.77,20.488,20.311,19.612,705108.26,675674.49,955765.02,3.41
2017-08-31,19.89,20.99,20.78,19.68,635214.56,0.78,3.9,20.252,20.32,19.414,721639.79,672252.54,994835.98,3.86
2017-07-31,21.4,21.77,20.0,19.25,1002017.81,-1.56,-7.24,19.998,20.453,19.353,765867.47,670447.6,1046832.64,6.09
2017-06-30,19.56,21.78,21.56,19.21,799571.31,2.08,10.68,19.992,20.601,19.243,646106.61,705891.15,1147126.66,4.9
2017-05-31,19.34,19.68,19.48,18.41,527164.25,0.04,0.21,19.882,20.449,19.151,617719.22,766345.31,1246777.37,3.23
2017-04-28,19.7,20.36,19.44,19.24,644231.0,-0.07,-0.36,20.134,20.556,18.975,646240.71,889283.59,1289867.57,3.95
2017-03-31,20.0,20.7,19.51,19.17,856353.0,-0.46,-2.3,20.388,20.363,18.921,622865.3,891761.02,1389332.26,5.25
2017-02-28,21.01,21.47,19.97,19.85,403213.47,-1.04,-4.95,20.908,20.176,18.983,575027.72,904743.04,1521574.1,2.8
2017-01-26,20.8,21.95,21.01,20.18,657634.38,0.27,1.3,21.21,19.944,19.103,765675.7,987965.09,1756914.8,4.56
2016-12-30,20.6,20.99,20.74,18.93,669771.69,0.03,0.14,21.016,19.512,19.521,914971.4,1099533.73,2216840.18,4.64
2016-11-30,22.19,22.4,20.71,20.25,527353.94,-1.4,-6.33,20.978,18.913,19.81,1132326.46,1235855.56,2697309.0,3.66
2016-10-31,21.69,23.9,22.11,21.11,617165.12,0.63,2.93,20.338,18.508,20.129,1160656.74,1317419.41,3311646.45,4.28
2016-09-30,20.19,24.18,21.48,19.9,1356453.38,1.44,7.19,19.444,18.253,20.25,1234458.35,1423217.69,3821242.94,9.41
2016-08-31,20.45,20.78,20.04,18.23,1404112.88,-0.51,-2.48,18.678,17.884,20.075,1210254.48,1588362.18,4003899.45,9.74
2016-07-29,17.5,21.24,20.55,17.2,1756547.0,3.04,17.36,18.008,17.853,19.977,1284096.05,1727209.44,4328671.43,12.18
2016-06-30,17.63,18.1,17.51,16.37,669005.31,-0.13,-0.74,16.848,17.393,19.821,1339384.65,1690451.56,4432996.61,4.68
2016-05-31,17.85,19.09,17.64,16.33,986173.19,-0.01,-0.06,16.678,17.478,19.765,1474182.09,1886903.51,4571184.4,6.89
2016-04-29,16.7,18.58,17.65,16.42,1235434.0,0.96,5.75,17.062,17.79,19.731,1611977.03,2138405.16,4716044.94,8.64
2016-03-31,14.68,17.34,16.69,14.42,1773320.75,1.94,13.15,17.09,18.261,19.634,1966469.88,2525864.51,4817375.76,12.4
2016-02-29,16.3,19.55,14.75,14.19,2032990.0,-1.91,-11.46,17.698,19.529,19.493,2170322.83,3334146.64,4853854.42,14.21
2016-01-29,19.55,19.68,16.66,14.0,1342992.5,-2.9,-14.83,17.938,20.707,19.425,2041518.48,4158762.44,4828317.64,9.39
2015-12-31,17.79,20.3,19.56,17.3,1675147.88,1.77,9.95,18.278,21.75,19.3,2299624.93,5305873.49,4884985.33,11.71
2015-11-30,19.4,21.56,17.79,17.11,3007898.25,-1.94,-9.83,18.518,22.246,19.062,2664833.3,6219268.2,4881334.28,21.03
2015-10-30,16.5,21.38,19.73,16.45,2792585.5,3.78,23.7,19.432,22.266,18.973,3085259.15,6419436.73,4818462.34,19.52
2015-09-30,17.8,19.98,15.95,15.8,1388968.25,-2.41,-13.13,21.36,22.1,18.819,4497970.45,6930133.43,4865764.27,9.71
