date,open,high,close,low,volume,price_change,p_change,ma5,ma10,ma20,v_ma5,v_ma10,v_ma20,turnover
2018-05-17,2.17,2.49,2.32,2.15,0.0,0.2,9.22,2.366,2.994,3.829,0.0,617963.74,1467075.97,0.0
2018-04-27,2.39,2.47,2.17,2.16,0.0,-0.22,-9.21,2.512,3.151,3.977,0.0,933693.62,1682614.82,0.0
2018-03-30,2.45,2.74,2.39,2.18,0.0,-0.07,-2.85,2.702,3.302,4.142,88987.61,1091143.54,1867642.59,0.0
2018-02-28,2.24,2.85,2.46,1.94,0.0,-0.03,-1.21,3.018,3.427,4.287,349140.66,1257831.98,2058838.8,0.0
2018-01-31,3.05,3.13,2.49,2.49,0.0,-0.56,-18.36,3.334,3.605,4.429,823350.36,1453801.59,2257745.93,0.0
2017-12-29,3.15,3.22,3.05,2.97,0.0,-0.07,-2.24,3.622,3.824,4.575,1235927.49,1657508.66,2470850.2,0.0
2017-11-30,3.96,4.01,3.12,3.01,444938.06,-0.85,-21.41,3.79,4.023,4.712,1867387.24,1816667.53,2825540.8,4.19
2017-10-31,4.04,4.24,3.97,3.9,1300765.25,-0.07,-1.73,3.902,4.211,4.819,2093299.47,1921621.34,3104062.12,12.25
2017-09-29,3.93,4.21,4.04,3.86,2371048.5,0.11,2.8,3.836,4.328,4.872,2166523.3,1983888.85,3282632.49,22.33
2017-08-31,3.9,4.05,3.93,3.75,2062885.62,0.04,1.03,3.876,4.473,4.921,2084252.82,2142945.47,3532612.39,19.42
2017-07-31,3.67,4.02,3.89,3.6,3157298.75,0.21,5.71,4.026,4.663,5.126,2079089.82,2316188.19,4354841.51,29.73
2017-06-30,3.65,3.82,3.68,3.48,1574499.25,0.04,1.1,4.256,4.802,5.3,1765947.82,2431536.01,4761076.87,14.83
2017-05-31,4.24,4.24,3.64,3.5,1666884.38,-0.6,-14.15,4.52,4.982,5.443,1749943.2,2644141.64,5267615.06,15.7
2017-04-28,4.7,4.75,4.24,3.98,1959696.12,-0.44,-9.4,4.82,5.146,5.784,1801254.4,2859845.62,5841938.74,18.45
2017-03-31,5.04,5.09,4.68,4.65,2037070.62,-0.36,-7.14,5.07,5.253,5.977,2201638.12,3061690.26,6954973.63,19.18
2017-02-28,5.0,5.15,5.04,4.92,1591588.75,0.04,0.8,5.3,5.325,6.062,2553286.55,3284191.75,7918308.0,14.99
2017-01-26,5.16,5.44,5.0,4.78,1494476.12,-0.14,-2.72,5.348,5.401,6.054,3097124.2,3834414.08,8042189.3,14.07
2016-12-30,5.47,5.51,5.14,5.04,1923440.38,-0.35,-6.38,5.444,5.427,6.034,3538340.08,4286502.91,8558743.29,18.11
2016-11-30,5.84,5.87,5.49,5.4,3961614.75,-0.34,-5.83,5.472,5.415,5.997,3918436.85,4581376.13,9242215.03,37.3
2016-10-31,5.31,6.0,5.83,5.3,3795312.75,0.55,10.42,5.436,5.368,5.936,3921742.4,4922279.3,9351323.46,35.74
2016-09-30,5.48,5.81,5.28,5.25,4310777.0,-0.2,-3.65,5.35,5.589,5.839,4015096.95,6393494.83,9875063.13,40.59
2016-08-31,5.27,5.72,5.48,5.16,3700555.5,0.2,3.79,5.454,5.798,5.72,4571703.95,7090617.73,10060956.9,34.84
2016-07-29,5.32,5.97,5.28,5.23,3823924.25,-0.03,-0.56,5.41,5.903,5.575,5034665.75,7891088.48,10069957.51,36.01
2016-06-30,5.38,5.7,5.31,5.1,3978142.5,-0.09,-1.67,5.358,6.421,5.428,5244315.4,8824031.85,9945680.91,37.46
2016-05-31,5.81,6.05,5.4,5.02,4262085.5,-0.4,-6.9,5.3,6.701,5.279,5922816.2,10848257.0,9825705.61,40.13
2016-04-29,5.22,6.48,5.8,5.14,7093812.0,0.54,10.27,5.828,6.799,5.122,8771892.7,12552424.25,9707599.54,66.8
2016-03-31,5.03,5.65,5.26,4.78,6015364.5,0.24,4.78,6.142,6.706,4.953,9609531.5,12249964.53,9462190.73,56.64
2016-02-29,4.92,5.98,5.02,4.69,4872172.5,0.0,0.0,6.396,6.641,4.812,10747511.2,12830983.68,9286968.11,45.88
2016-01-29,8.07,8.08,5.02,4.47,7370646.5,-3.02,-37.56,7.484,6.578,4.683,12403748.3,13903053.93,9111308.34,69.4
2015-12-31,7.28,9.79,8.04,7.22,18507468.0,0.67,9.09,8.102,6.503,4.561,15773697.8,13780367.63,8853402.56,174.27
2015-11-30,6.44,7.69,7.37,6.15,11282006.0,0.84,12.86,7.77,6.088,4.3,16332955.8,13356631.43,8063545.87,106.23
2015-10-30,9.41,9.41,6.53,6.33,11705263.0,-3.93,-37.57,7.27,5.641,4.07,14890397.55,13031296.08,7802266.19,110.22
2015-05-19,8.11,10.5,10.46,7.18,13153358.0,2.35,28.98,6.886,5.246,3.878,14914456.15,12248826.55,7414687.36,123.85
2015-04-30,6.37,8.86,8.11,6.35,24220394.0,1.73,27.12,5.672,4.434,3.5,15402359.55,11067329.96,7158276.11,228.06
2015-03-31,4.9,6.7,6.38,4.8,21303758.0,1.51,31.01,4.904,3.857,3.218,11787037.45,8803154.21,6012612.48,200.6
2015-02-27,4.6,5.0,4.87,4.44,4069214.75,0.26,5.64,4.406,3.445,3.023,10380307.05,6862774.84,4999744.96,38.32
2015-01-30,4.33,5.15,4.61,4.29,11825556.0,0.22,5.01,4.012,3.2,2.932,11172194.6,6674416.94,4911268.47,111.35
2014-12-31,3.96,4.84,4.39,3.84,15592875.0,0.12,2.81,3.606,2.982,2.849,9583196.95,5742952.54,4439237.93,146.82
2014-10-22,3.9,4.44,4.27,3.82,6143783.5,0.38,9.77,3.196,2.788,2.78,6732300.37,4319562.76,3777782.73,57.85
2014-09-30,2.9,4.11,3.89,2.89,14270106.0,0.99,34.14,2.81,2.619,2.723,5819270.97,3926437.49,3580038.15,134.37
2014-08-29,2.57,3.13,2.9,2.51,8028652.5,0.32,12.4,2.484,2.512,2.689,3345242.62,2770460.31,3104070.95,75.6
2014-07-31,2.35,2.6,2.58,2.33,3880567.75,0.24,10.26,2.388,2.498,2.694,2176639.27,2573236.31,2934111.13,36.54
2014-06-30,2.34,2.46,2.34,2.24,1338392.12,0.0,0.0,2.358,2.51,2.695,1902708.12,2580548.16,2936064.74,12.6
2014-05-30,2.26,2.48,2.34,2.24,1578636.5,0.08,3.54,2.38,2.566,2.735,1906825.15,3249222.25,3334498.53,14.86
2014-04-30,2.42,2.52,2.26,2.2,1899964.25,-0.16,-6.61,2.428,2.578,2.737,2033604.0,3222070.74,3329469.41,17.89
2014-03-31,2.42,2.57,2.42,2.35,2185635.75,-0.01,-0.41,2.54,2.6,2.743,2195678.0,3136715.09,3330212.44,20.58
2014-02-28,2.45,2.73,2.43,2.38,2510912.0,-0.02,-0.82,2.608,2.664,2.736,2969833.35,3148120.01,3328795.49,23.64
2014-01-30,2.58,2.59,2.45,2.31,1358977.25,-0.13,-5.04,2.662,2.716,2.763,3258388.2,3135523.31,3257870.01,12.8
2013-12-31,2.74,2.86,2.58,2.5,2212530.75,-0.24,-8.51,2.752,2.771,2.809,4591619.35,3236002.69,3275324.31,20.83
2013-11-29,2.72,2.85,2.82,2.65,2710334.25,0.06,2.17,2.728,2.827,2.858,4410537.48,3233638.81,3259539.4,27.55
2013-10-31,2.7,3.26,2.76,2.65,6056412.5,0.06,2.22,2.66,2.865,2.886,4077752.18,3437681.59,3346320.66,61.56
2013-09-30,2.91,3.02,2.7,2.66,3953686.25,-0.2,-6.9,2.72,2.89,2.942,3326406.68,3294985.94,3310244.08,40.19
2013-08-30,2.45,3.24,2.9,2.44,8025133.0,0.44,17.89,2.77,2.88,2.984,3012658.43,3291581.31,3246850.17,81.58
2013-07-31,2.48,2.63,2.46,2.38,1307121.38,-0.02,-0.81,2.79,2.903,3.008,1880386.03,3419774.81,2915056.3,13.29
2013-06-28,3.06,3.09,2.48,2.24,1046407.75,-0.58,-18.95,2.926,2.896,3.078,2056740.15,3436868.08,2926254.54,10.64
2013-05-31,2.94,3.15,3.06,2.89,2299685.0,0.11,3.73,3.07,2.885,3.164,2797611.0,3523709.79,2934834.49,24.51
2013-04-26,3.0,3.39,2.95,2.88,2384945.0,-0.05,-1.67,3.06,2.808,3.207,3263565.2,3509470.96,2887295.18,25.42
2013-03-29,3.15,3.24,3.0,2.96,2363771.0,-0.14,-4.46,2.99,2.81,3.315,3570504.2,3380216.7,2883459.69,25.2
2013-02-28,3.19,3.33,3.14,3.05,2188892.0,-0.06,-1.88,3.016,2.847,3.415,4959163.6,3314645.94,2915377.54,23.33
2013-01-31,3.04,3.39,3.2,2.92,4750762.0,0.19,6.31,2.866,2.889,3.525,4816996.0,3285439.98,2920664.28,50.64
