date,open,high,close,low,volume,price_change,p_change,ma5,ma10,ma20,v_ma5,v_ma10,v_ma20,turnover
2018-05-17,60.9,66.8,63.4,57.8,0.0,3.16,5.2,61.43,72.492,72.492,0.0,210071.34,210071.34,0.0
2018-04-27,70.92,71.6,60.83,57.01,0.0,-9.3,-13.26,65.314,73.502,73.502,0.0,233412.6,233412.6,0.0
2018-03-30,53.44,73.1,70.13,53.12,0.0,16.36,30.43,69.65,75.086,75.086,44762.09,262589.18,262589.18,0.0
2018-02-28,54.9,57.0,53.77,44.37,0.0,-5.25,-8.89,74.698,75.794,75.794,146271.6,300101.92,300101.92,0.0
2018-01-31,83.5,83.5,59.02,59.02,0.0,-23.8,-28.74,78.86,79.465,79.465,362158.88,350118.91,350118.91,0.0
2017-12-29,82.4,85.01,82.82,70.13,0.0,0.31,0.38,83.554,83.554,83.554,420142.69,420142.69,420142.69,0.0
2017-11-30,94.9,113.21,82.51,78.06,223810.44,-12.86,-13.48,83.738,83.738,83.738,525178.36,525178.36,525178.36,104.58
2017-10-31,75.63,99.5,95.37,73.51,507547.56,20.79,27.88,84.147,84.147,84.147,625634.33,625634.33,625634.33,237.17
2017-09-29,79.92,86.58,74.58,70.1,1079436.38,-7.91,-9.59,78.535,78.535,78.535,684677.72,684677.72,684677.72,504.41
2017-08-31,19.15,85.56,82.49,19.15,289919.06,3.19,19.99,82.49,82.49,82.49,289919.06,289919.06,289919.06,135.48
