date,open,high,close,low,volume,price_change,p_change,ma5,ma10,ma20,v_ma5,v_ma10,v_ma20,turnover
2018-05-17,4.05,4.29,4.1,4.0,0.0,0.06,1.48,4.346,5.178,5.519,0.0,2616195.89,4137577.47,0.0
2018-04-27,4.38,4.57,4.05,3.95,0.0,-0.33,-7.53,4.534,5.449,5.582,0.0,3506499.89,4287108.86,0.0
2018-03-30,4.41,4.8,4.38,3.92,0.0,-0.06,-1.35,4.84,5.637,5.645,147554.34,4995735.89,4460883.91,0.0
2018-02-28,4.76,4.78,4.44,3.85,0.0,-0.32,-6.72,5.15,5.821,5.69,785438.19,5994225.89,4692912.08,0.0
2018-01-31,5.03,5.48,4.76,4.72,0.0,-0.28,-5.56,5.708,5.93,5.715,3002773.79,6799978.14,4785417.61,0.0
2017-12-29,5.55,5.63,5.04,4.92,0.0,-0.54,-9.68,6.01,5.999,5.727,5232391.79,7056824.82,4893252.35,0.0
2017-11-30,5.95,6.13,5.58,5.41,737771.69,-0.35,-5.9,6.364,6.083,5.735,7012999.79,7242395.73,5054281.98,10.07
2017-10-31,6.68,6.96,5.93,5.81,3189419.25,-1.3,-17.98,6.434,6.079,5.731,9843917.45,7321939.85,5185116.61,43.53
2017-09-20,6.23,7.95,7.23,6.23,11086678.0,0.96,15.31,6.492,6.062,5.685,11203013.6,7182361.7,5150865.21,151.31
2017-08-31,6.73,7.18,6.27,6.15,11148090.0,-0.54,-7.93,6.152,5.932,5.565,10597182.5,6537524.25,4718848.29,149.1
2017-07-31,5.93,6.95,6.81,5.22,8903040.0,0.88,14.84,5.988,5.86,5.641,8881257.85,5658959.05,4483286.81,123.44
2017-06-30,6.13,7.18,5.93,5.82,14892360.0,-0.29,-4.66,5.802,5.714,5.69,7471791.67,5067717.83,4358970.11,206.48
2017-05-31,5.53,6.55,6.22,5.1,9984900.0,0.69,12.48,5.724,5.652,5.754,4799962.25,3926031.93,4084831.46,136.25
2017-04-28,5.87,6.89,5.53,5.2,8057522.5,0.08,1.47,5.632,5.559,5.808,3161709.8,3391598.28,4044946.06,123.92
2017-03-31,5.89,6.03,5.45,5.37,2568466.75,-0.43,-7.31,5.712,5.5,5.963,2477866.0,2770857.08,3966136.34,39.5
2017-02-28,5.54,5.99,5.88,5.43,1855709.12,0.34,6.14,5.732,5.454,6.739,2436660.25,2729679.88,4145265.0,28.54
2017-01-26,5.75,5.94,5.54,5.0,1533212.88,-0.22,-3.82,5.626,5.386,7.295,2663643.98,2866168.24,4379993.77,23.58
2016-12-30,5.98,6.05,5.76,5.45,1793637.75,-0.17,-2.87,5.58,5.383,7.843,3052101.6,3048293.38,4617485.43,27.58
2016-11-30,5.6,6.44,5.93,5.6,4638303.5,0.38,6.85,5.486,5.307,8.231,3621486.75,3119368.73,4592726.22,71.33
2016-10-28,5.46,5.76,5.55,5.35,2362438.0,0.2,3.74,5.288,5.198,8.592,3063848.15,2900172.33,4593297.22,36.33
2016-09-30,5.3,5.62,5.35,5.1,2990627.75,0.04,0.75,5.176,5.421,8.986,3022699.5,3307614.58,5008199.52,46.72
