date,open,high,close,low,volume,price_change,p_change,ma5,ma10,ma20,v_ma5,v_ma10,v_ma20,turnover
2018-05-17,6.35,6.99,6.55,6.06,0.0,0.27,4.26,6.902,8.218,10.009,0.0,315153.55,794474.01,0.0
2018-04-27,6.89,7.01,6.33,6.3,0.0,-0.57,-8.26,7.278,8.668,10.264,0.0,520511.85,840764.23,0.0
2018-03-30,6.73,7.59,6.9,6.34,0.0,0.22,3.29,7.74,8.984,10.569,24230.56,623025.48,913646.31,0.0
2018-02-28,8.05,8.07,6.68,6.01,0.0,-1.37,-17.02,8.316,9.223,10.857,105141.99,694917.58,1036881.84,0.0
2018-01-31,8.42,8.86,8.05,8.01,0.0,-0.38,-4.51,9.07,9.651,11.063,256455.88,779899.61,1091104.61,0.0
2017-12-29,8.61,9.39,8.43,8.27,0.0,-0.21,-2.43,9.534,10.094,11.197,630307.11,926395.55,1136564.11,0.0
2017-11-30,9.83,9.89,8.64,8.4,121152.81,-1.14,-11.66,10.058,10.657,11.371,1041023.71,1089784.87,1241358.46,3.95
2017-10-31,10.54,10.6,9.78,9.62,404557.16,-0.67,-6.41,10.228,11.091,11.569,1221820.41,1227358.49,1393598.42,13.17
2017-09-29,10.42,10.68,10.45,10.0,756569.44,0.08,0.77,10.13,11.428,11.645,1284693.17,1291017.76,1444989.56,24.64
2017-08-31,11.05,11.4,10.37,10.01,1869256.12,-0.68,-6.15,10.232,11.642,11.668,1303343.34,1374139.22,1518247.9,60.87
2017-07-31,9.59,11.19,11.05,9.06,2053583.0,1.56,16.44,10.654,11.799,11.942,1222483.99,1273794.47,1588678.34,66.88
2017-06-30,9.31,9.58,9.49,8.22,1025136.31,0.2,2.15,11.256,11.859,12.052,1138546.04,1161016.6,1641407.75,33.38
2017-05-31,10.88,11.28,9.29,8.99,718921.0,-1.67,-15.24,11.954,12.154,12.252,1232896.58,1204267.13,1716722.8,23.41
2017-04-28,12.46,13.15,10.96,10.1,849820.25,-1.52,-12.18,12.726,12.491,12.287,1297342.34,1378846.11,1799595.6,27.68
2017-03-31,14.15,14.8,12.48,12.38,1464959.38,-1.58,-11.24,13.052,12.474,12.24,1444935.11,1402309.61,1950675.47,47.71
2017-02-28,13.0,14.49,14.06,12.74,1633893.25,1.08,8.32,12.944,12.3,12.286,1325104.96,1346732.68,2097825.25,53.21
2017-01-26,13.0,13.93,12.98,11.8,1496889.0,-0.17,-1.29,12.462,12.084,12.323,1183487.16,1392932.05,2191405.28,48.75
2016-12-30,12.66,13.18,13.15,11.5,1041149.81,0.56,4.45,12.354,12.046,12.624,1175637.68,1559838.35,2237092.81,33.91
2016-11-30,11.97,13.21,12.59,11.88,1587784.12,0.65,5.44,12.256,11.862,12.794,1460349.87,1598961.37,2326222.01,51.71
2016-10-31,11.72,12.44,11.94,11.69,865808.62,0.29,2.49,11.896,11.694,12.917,1359684.1,1662356.59,2394374.68,28.2
2016-09-30,12.44,12.77,11.65,11.5,925804.25,-0.79,-6.35,11.656,12.084,12.874,1368360.4,1903562.2,2476500.8,30.15
2016-08-31,12.5,12.88,12.44,11.73,1457641.62,-0.22,-1.74,11.706,12.244,12.745,1602376.95,2121798.9,2520352.57,47.47
2016-07-29,10.75,13.95,12.66,10.75,2464710.75,1.87,17.33,11.738,12.349,12.529,1944039.02,2229178.46,2603730.69,80.27
2016-06-30,10.82,11.3,10.79,9.85,1084455.25,0.05,0.47,11.468,12.082,12.308,1737572.87,2220345.09,2556186.49,35.32
2016-05-31,11.91,12.37,10.74,10.01,909190.12,-1.16,-9.75,11.492,12.005,12.163,1965029.07,2499041.34,2585497.89,29.61
2016-04-29,12.59,13.73,11.9,11.58,2095887.0,-0.7,-5.56,12.512,12.271,12.042,2438764.0,2848917.83,2701283.36,68.25
2016-03-31,11.3,14.22,12.6,11.03,3165952.0,1.29,11.41,12.782,12.562,11.781,2641220.85,2989878.5,2733826.97,103.1
2016-02-29,10.88,12.43,11.31,10.58,1432380.0,0.4,3.67,12.96,13.202,11.469,2514317.9,2914347.28,2832101.59,46.65
2016-01-29,15.63,15.87,10.91,10.08,2221736.25,-4.93,-31.12,12.696,13.725,11.224,2703117.3,3053482.65,3157311.84,72.35
