date,open,high,close,low,volume,price_change,p_change,ma5,ma10,ma20,v_ma5,v_ma10,v_ma20,turnover
2018-05-17,15.6,18.87,18.0,15.55,0.0,2.25,14.38,18.324,17.651,15.008,0.0,1063114.13,1805674.1,0.0
2018-04-27,17.76,18.23,15.65,14.82,0.0,-2.11,-11.88,18.392,17.591,14.628,0.0,1473104.15,1923113.07,0.0
2018-03-30,19.96,21.18,17.76,16.61,0.0,-2.34,-11.64,18.568,17.658,14.336,324045.3,1814380.15,2102559.47,0.0
2018-02-28,20.12,20.79,20.1,17.03,0.0,-0.01,-0.05,18.594,17.197,13.875,944526.05,2167616.2,2264220.22,0.0
2018-01-31,18.38,20.91,20.11,18.29,0.0,1.77,9.65,17.79,16.453,13.353,1596433.75,2431081.73,2500808.72,0.0
2017-12-29,16.5,19.8,18.34,16.06,0.0,1.81,10.95,16.978,15.523,12.806,2126228.25,2451167.08,2765752.32,0.0
2017-11-30,17.9,19.5,16.53,16.2,1620226.5,-1.36,-7.6,16.79,14.775,12.256,2946208.3,2582478.18,2947999.41,10.36
2017-10-31,16.29,19.06,17.89,15.55,3102403.75,1.81,11.26,16.748,14.157,11.788,3304715.0,2577512.36,3014978.53,19.84
2017-09-29,16.08,18.67,16.08,15.49,3259538.5,0.03,0.19,15.8,13.472,11.21,3390706.35,2500667.97,2971189.16,20.84
2017-08-31,17.31,17.55,16.05,15.91,2648972.5,-1.35,-7.76,15.116,12.905,10.733,3265729.7,2439483.36,3042204.01,16.94
2017-07-31,16.26,17.95,17.4,15.0,4099900.25,1.08,6.62,14.068,12.365,10.463,2776105.9,2548234.07,3203147.26,26.22
2017-06-30,13.23,16.77,16.32,12.81,3412760.0,3.17,24.11,12.76,11.665,10.082,2218748.05,2373121.99,3321892.7,21.82
2017-05-31,12.79,14.49,13.15,12.54,3532360.5,0.49,3.87,11.566,11.013,9.706,1850309.73,2390738.79,3407655.5,22.59
2017-04-28,11.89,13.12,12.66,11.3,2634655.25,1.85,17.11,11.144,10.553,9.408,1610629.58,2360824.24,3471555.87,16.85
2017-03-03,10.93,11.05,10.81,10.72,200853.52,-0.05,-0.46,10.694,10.252,9.127,1613237.03,2570535.72,3730688.48,1.28
2017-02-28,10.36,11.25,10.86,10.2,1313111.0,0.51,4.93,10.662,10.088,9.055,2320362.23,3080337.56,4170322.76,8.4
2017-01-26,11.05,11.14,10.35,9.72,1570568.38,-0.69,-6.25,10.57,9.736,9.086,2527495.93,3313520.64,4568459.96,10.04
2016-12-30,10.41,11.25,11.04,10.19,2333959.75,0.63,6.05,10.46,9.419,9.444,2931167.85,3452444.7,5317908.74,15.38
2016-11-30,10.77,11.03,10.41,10.15,2647692.5,-0.24,-2.25,9.962,8.948,9.457,3111018.9,3441710.35,5788709.4,17.45
2016-10-28,10.37,11.77,10.65,10.37,3736479.5,0.25,2.4,9.81,8.561,9.905,3527834.4,3644924.65,5867305.15,24.62
2016-09-30,9.75,10.6,10.4,9.31,2348779.5,0.6,6.12,9.514,8.561,10.168,3840312.9,3858060.45,5782579.43,15.48
2016-08-31,8.5,10.14,9.8,8.5,3588928.0,1.25,14.62,8.902,8.499,10.379,4099545.35,4270663.4,5731194.94,23.65
2016-07-29,9.73,9.78,8.55,8.46,3233215.0,-1.1,-11.4,8.378,8.399,10.567,3973721.55,4424572.2,5637672.49,21.31
2016-06-30,9.18,10.65,9.65,8.6,4731770.0,0.48,5.23,7.934,8.262,10.88,3772401.8,4582287.5,5574148.79,31.18
2016-05-31,7.41,9.45,9.17,7.15,5298872.0,1.83,24.93,7.312,8.002,11.084,3762014.9,4890841.25,5457038.7,34.92
2016-04-29,7.16,8.49,7.34,7.1,3644941.75,0.16,2.23,7.608,8.021,11.243,3875808.0,5260307.95,5340180.42,24.02
2016-03-31,6.4,7.35,7.18,6.33,2959809.0,0.85,13.43,8.096,8.436,11.419,4441781.45,5823399.28,5246804.24,19.51
2016-02-29,6.57,7.44,6.33,6.2,2226616.25,-0.21,-3.21,8.42,9.469,11.708,4875422.85,7183372.78,5154177.84,14.67
2016-01-29,10.57,10.65,6.54,6.13,4679835.5,-4.11,-38.59,8.59,9.966,12.042,5392173.2,8135708.45,5152110.02,30.84
2015-12-31,9.82,10.99,10.65,9.0,5867837.5,0.87,8.9,8.692,11.249,12.31,6019667.6,8089685.65,5039433.12,38.67
2015-11-30,8.6,10.48,9.78,8.16,6474809.0,0.98,11.14,8.434,11.774,12.355,6644807.9,7707098.41,4819170.71,42.67
2015-10-30,7.37,9.24,8.8,7.29,5128016.0,1.62,22.56,8.776,12.258,12.406,7205017.1,7191726.47,4541692.8,33.79
2015-09-30,7.0,7.66,7.18,5.75,4810368.0,0.13,1.84,10.518,12.735,12.531,9491322.7,6850772.79,4344448.91,31.7
2015-08-31,9.02,11.09,7.05,6.5,7817307.5,-2.31,-24.68,11.342,13.497,12.712,10879243.7,6566010.07,4168559.76,51.52
2015-07-31,11.48,11.87,9.36,8.35,8993539.0,-2.13,-18.54,13.806,14.165,12.891,10159703.7,6023236.15,3843536.01,59.27
2015-06-30,19.26,19.26,11.49,10.04,9275855.0,-6.02,-34.38,15.114,14.465,13.062,8769388.92,5420052.9,3458497.46,61.13
2015-05-27,11.3,17.51,17.51,9.79,16559544.0,6.21,54.96,15.74,14.402,13.166,7178435.85,4670209.21,3065943.27,109.13
2015-04-30,19.4,28.4,11.3,10.8,11749973.0,-8.07,-41.66,14.952,13.946,12.955,4210222.87,3124982.91,2298529.12,77.43
2015-03-31,16.0,19.75,19.37,15.56,4219607.5,3.47,21.82,15.652,14.117,13.0,2252776.45,2168511.59,1784996.49,55.61
2015-02-27,14.48,16.2,15.9,13.7,2041965.12,1.28,8.76,14.524,13.37,12.692,1886768.6,1989180.59,1690121.16,26.91
2015-01-30,14.93,15.1,14.62,13.85,1321089.62,1.05,7.74,13.816,12.935,12.437,2070716.87,1931243.0,1617611.98,17.41
2014-10-24,14.79,15.4,13.57,13.1,1718479.12,-1.23,-8.31,13.064,12.553,12.249,2161982.57,1891659.13,1611286.28,22.65
2014-09-30,13.73,15.58,14.8,13.73,1962740.88,1.07,7.79,12.94,12.326,12.08,2039742.95,1838125.04,1573477.92,25.87
2014-08-29,12.3,13.8,13.73,12.0,2389568.25,1.37,11.08,12.582,11.926,11.887,2084246.72,1771109.45,1564543.65,31.49
2014-07-31,10.85,12.5,12.36,10.71,2961706.5,1.5,13.81,12.216,11.616,11.652,2091592.57,1663835.88,1511939.38,39.04
2014-06-30,12.98,13.08,10.86,9.52,1777418.12,-2.09,-16.14,12.054,11.658,11.437,1791769.12,1496942.01,1553271.64,23.43
2014-05-30,13.05,13.45,12.95,12.69,1107281.0,-0.06,-0.46,12.042,11.929,11.372,1621335.68,1461677.33,1511868.04,18.97
2014-04-30,11.82,13.96,13.01,11.81,2185259.75,1.11,9.33,11.712,11.964,11.14,1636507.13,1472075.33,1484929.14,37.44
2014-03-31,11.55,13.15,11.9,11.5,2426297.5,0.35,3.03,11.27,11.883,10.959,1457972.18,1401481.39,1406347.45,41.57
2014-02-28,10.74,12.35,11.55,10.65,1462589.25,0.75,6.94,11.016,12.014,10.796,1236079.18,1391061.74,1296621.8,25.06
2014-01-30,11.27,11.48,10.8,10.05,925250.88,-0.5,-4.42,11.262,11.939,10.768,1202114.9,1303980.95,1236607.54,15.85
2013-12-31,10.7,11.8,11.3,10.18,1183138.25,0.5,4.63,11.816,11.945,10.848,1302018.98,1330913.44,1223472.82,20.27
2013-11-29,10.62,11.12,10.8,9.86,1292585.0,0.17,1.6,12.216,11.834,10.867,1307643.53,1308830.81,1179278.24,22.4
2013-10-31,13.3,13.54,10.63,10.59,1316832.5,-2.15,-16.82,12.496,11.847,11.587,1344990.6,1357977.86,1133671.24,22.82
