date,open,high,close,low,volume,price_change,p_change,ma5,ma10,ma20,v_ma5,v_ma10,v_ma20,turnover
2018-05-16,10.8,12.6,11.52,10.61,0.0,0.65,5.98,11.788,11.916,23.977,0.0,230840.45,396409.32,0.0
2018-04-27,13.0,13.0,10.87,10.48,0.0,-2.22,-16.96,12.012,11.912,25.744,0.0,323936.09,409885.01,0.0
2018-03-29,12.32,13.88,13.09,11.56,0.0,0.82,6.68,12.266,12.217,27.54,50994.25,613063.14,425902.12,0.0
2018-02-28,11.24,12.39,12.27,10.07,0.0,1.08,9.65,11.918,14.498,28.942,145567.87,624111.67,453396.6,0.0
2018-01-31,12.6,13.62,11.19,11.01,0.0,-1.45,-11.47,11.874,17.094,30.703,319196.82,636942.35,490727.0,0.0
2017-12-29,12.15,13.4,12.64,10.92,0.0,0.5,4.12,12.044,19.847,32.191,461680.91,678990.44,514675.57,0.0
2017-11-30,11.35,12.46,12.14,10.73,254971.25,0.79,6.96,11.812,22.592,33.389,647872.18,693716.91,540039.16,8.75
2017-10-31,12.28,12.68,11.35,11.23,472868.09,-0.7,-5.81,12.168,25.438,34.402,1175132.03,682423.73,548923.03,16.23
2017-09-29,12.0,13.7,12.05,11.93,868144.75,0.01,0.08,17.078,28.653,35.162,1102655.47,659490.34,542028.04,29.8
2017-08-31,11.5,12.52,12.04,11.3,712420.44,0.56,4.88,22.314,32.358,36.196,954687.89,611903.3,516872.58,24.45
2017-07-31,13.85,14.6,11.48,11.01,930956.38,-2.44,-17.53,27.65,36.038,38.084,896299.97,561978.19,507339.04,31.96
2017-06-30,35.88,43.89,13.92,12.32,2891270.5,-21.98,-61.23,33.372,39.575,40.217,739561.65,495833.92,508678.8,99.24
2017-05-31,37.9,39.38,35.9,35.83,110485.27,-2.33,-6.09,38.708,42.862,41.436,189715.43,238741.09,405739.84,11.83
2017-04-28,38.79,39.99,38.23,36.31,128306.84,-0.49,-1.26,40.228,43.385,41.483,216325.22,282681.54,470502.55,15.41
2017-03-31,40.27,44.15,38.72,38.0,420480.88,-1.37,-3.42,42.402,44.311,40.991,269118.71,344511.66,498545.78,50.5
2017-02-28,40.84,40.84,40.09,38.53,147264.75,-0.51,-1.26,44.426,44.534,40.311,227656.4,350360.69,544359.79,17.68
2017-01-26,43.5,44.3,40.6,37.03,142039.39,-2.9,-6.67,45.778,44.186,39.382,252106.2,386361.41,603242.78,17.06
2016-12-30,49.33,49.34,43.5,41.22,243534.22,-5.6,-11.4,47.016,43.366,38.875,287766.76,415422.33,692156.59,13.37
2016-11-30,48.8,54.5,49.1,46.88,392274.31,0.26,0.53,46.542,41.67,37.715,349037.87,424565.73,744037.7,21.54
2016-10-28,47.01,50.08,48.84,46.9,213169.33,1.99,4.25,46.22,40.033,36.295,419904.6,421841.86,830005.2,11.7
2016-09-30,46.8,48.21,46.85,43.55,269513.75,0.06,0.13,44.642,40.129,34.683,473064.99,452699.9,864175.08,14.8
