date,open,high,close,low,volume,price_change,p_change,ma5,ma10,ma20,v_ma5,v_ma10,v_ma20,turnover
2018-05-17,6.2,6.56,6.33,6.12,0.0,0.21,3.4,6.45,7.176,7.374,0.0,1316767.69,1878801.26,0.0
2018-04-27,6.51,6.65,6.18,6.09,0.0,-0.42,-6.36,6.624,7.265,7.449,0.0,1556681.02,1999368.94,0.0
2018-03-30,6.4,7.33,6.6,6.03,0.0,0.19,2.96,6.872,7.44,7.535,62406.01,2288652.02,2102228.6,0.0
2018-02-28,6.72,6.85,6.41,5.98,0.0,-0.32,-4.75,7.148,7.605,7.582,437797.19,2768707.17,2230366.5,0.0
2018-01-31,7.19,7.52,6.73,6.72,0.0,-0.47,-6.53,7.578,7.677,7.65,1588728.89,3038978.29,2377328.26,0.0
2017-12-29,7.38,7.53,7.2,6.94,0.0,-0.22,-2.96,7.902,7.723,7.733,2633535.39,3171566.41,2825066.01,0.0
2017-11-30,7.97,8.19,7.42,7.12,312030.06,-0.56,-7.02,7.906,7.765,7.829,3113362.04,3288042.23,3107416.71,4.65
2017-10-31,8.68,9.19,7.98,7.89,1876955.88,-0.58,-6.78,8.008,7.744,7.852,4514898.03,3317398.25,3213637.01,27.96
2017-09-29,8.33,9.6,8.56,8.18,5754658.5,0.21,2.52,8.062,7.674,7.774,5099617.15,3226277.49,3173207.22,85.74
2017-08-31,7.2,8.59,8.35,7.05,5224032.5,1.13,15.65,7.776,7.616,7.715,4489227.7,2839733.09,2970915.05,77.83
2017-07-31,7.92,8.1,7.22,6.8,2399133.25,-0.71,-8.95,7.544,7.572,7.903,3709597.42,2440834.83,2825287.38,35.74
2017-06-30,8.16,8.85,7.93,7.76,7319710.0,-0.32,-3.88,7.624,7.633,8.104,3462722.42,2442056.86,2889482.6,109.05
2017-05-31,7.12,9.12,8.25,6.53,4800551.5,1.12,15.71,7.48,7.629,8.195,2119898.47,1915805.18,2679789.4,71.52
2017-04-28,7.22,8.45,7.13,6.58,2702711.25,-0.06,-0.83,7.286,7.559,8.185,1352937.84,1692025.83,2642565.62,40.27
2017-03-31,7.57,7.8,7.19,7.14,1325881.12,-0.43,-5.64,7.456,7.623,8.259,1190238.49,1715678.23,2852911.48,19.75
2017-02-28,7.28,7.65,7.62,7.13,1164758.25,0.41,5.69,7.6,7.743,8.373,1172072.24,2478565.62,3007447.95,17.35
2017-01-26,7.28,7.51,7.21,6.7,605590.25,-0.07,-0.96,7.642,7.893,8.602,1421391.29,2926791.19,3242119.22,9.02
2016-12-30,7.95,8.09,7.28,7.2,965748.31,-0.7,-8.77,7.778,7.959,8.957,1711711.89,3109875.77,3567575.88,14.39
