date,open,high,close,low,volume,price_change,p_change,ma5,ma10,ma20,v_ma5,v_ma10,v_ma20,turnover
2018-05-17,104.0,107.8,100.5,98.4,0.0,-3.63,-3.51,99.426,86.166,82.705,0.0,163425.97,208264.22,0.0
2018-04-27,118.0,120.0,103.54,102.0,0.0,-15.45,-12.98,94.682,80.925,80.925,0.0,229090.65,229090.65,0.0
2018-03-30,85.27,121.0,118.99,85.27,0.0,32.67,37.85,88.366,78.412,78.412,21345.49,254545.16,254545.16,0.0
2018-02-28,87.77,89.58,86.32,69.78,0.0,-1.46,-1.66,80.81,73.34,73.34,63391.68,286363.31,286363.31,0.0
2018-01-31,76.02,93.98,87.78,74.16,0.0,11.0,14.33,77.114,71.486,71.486,140522.62,327272.35,327272.35,0.0
2017-12-29,71.63,81.8,76.78,66.06,0.0,4.82,6.7,72.906,68.77,68.77,326851.94,381817.74,381817.74,0.0
2017-11-30,80.52,87.85,71.96,68.01,106727.47,-9.25,-11.39,67.168,67.168,67.168,458181.29,458181.29,458181.29,42.69
2017-10-31,68.72,81.88,81.21,65.0,210230.95,13.37,19.71,65.97,65.97,65.97,546044.75,546044.75,546044.75,84.09
2017-09-29,67.38,73.88,67.84,62.0,385654.66,1.1,1.65,60.89,60.89,60.89,657982.68,657982.68,657982.68,154.26
2017-08-31,47.51,70.8,66.74,44.05,931646.62,18.65,38.78,57.415,57.415,57.415,794146.69,794146.69,794146.69,372.66
2017-07-31,18.73,49.72,48.09,18.73,656646.75,5.72,43.97,48.09,48.09,48.09,656646.75,656646.75,656646.75,262.66
