date,open,high,close,low,volume,price_change,p_change,ma5,ma10,ma20,v_ma5,v_ma10,v_ma20,turnover
2018-05-17,26.3,29.2,28.02,26.07,0.0,1.69,6.37,27.774,30.61,39.114,0.0,86367.27,211552.12,0.0
2018-04-27,26.9,30.5,26.55,25.75,0.0,-0.45,-1.67,28.312,31.216,39.698,0.0,109679.23,222686.44,0.0
2018-03-30,27.45,29.5,27.0,24.43,0.0,-0.43,-1.57,29.098,32.197,40.428,11905.44,125140.83,235057.91,0.0
2018-02-28,29.88,30.14,27.43,25.51,0.0,-2.44,-8.17,30.382,33.098,41.218,69527.95,138151.12,248884.85,0.0
2018-01-31,30.96,32.2,29.87,29.65,0.0,-0.84,-2.73,32.174,34.865,42.08,143627.35,159228.51,264440.15,0.0
2017-12-29,30.7,33.2,30.71,28.98,0.0,0.23,0.76,33.446,37.551,42.894,172734.53,230136.44,282069.5,0.0
2017-11-30,33.71,34.87,30.48,29.7,59527.2,-2.94,-8.8,34.12,40.282,43.764,219358.45,274498.79,302217.32,14.33
2017-10-31,36.98,40.87,33.42,32.01,288112.53,-2.97,-8.16,35.296,42.916,44.786,238376.22,323194.96,320885.79,69.36
2017-09-29,35.75,42.58,36.39,35.05,370497.03,0.16,0.44,35.814,45.271,45.733,206774.3,332809.59,323616.89,170.97
2017-08-31,33.94,36.98,36.23,32.01,145535.91,2.15,6.31,37.556,48.58,46.583,174829.67,351271.31,319355.06,67.16
2017-07-31,36.3,38.88,34.08,31.08,233119.59,-2.28,-6.27,41.656,47.618,47.618,287538.35,336736.98,336736.98,107.58
2017-06-30,35.7,38.57,36.36,32.01,154616.05,0.35,0.97,46.444,49.122,49.122,329639.13,348250.02,348250.02,71.35
2017-05-31,45.5,46.49,36.01,35.11,130102.93,-9.09,-20.16,50.536,50.718,50.718,408013.71,372454.27,372454.27,60.04
2017-04-28,56.74,58.88,45.1,42.5,210773.88,-11.63,-20.5,54.728,52.819,52.819,458844.88,407075.88,407075.88,97.27
2017-03-31,58.05,66.21,56.73,55.08,709079.31,-1.29,-2.22,59.604,54.105,54.105,527712.95,439792.89,439792.89,327.22
2017-02-28,56.79,63.3,58.02,54.5,443623.47,1.2,2.11,53.58,53.58,53.58,385935.6,385935.6,385935.6,204.72
2017-01-26,57.0,73.9,56.82,53.38,546488.94,-0.15,-0.26,52.47,52.47,52.47,371513.63,371513.63,371513.63,252.19
2016-12-30,69.56,70.95,56.97,56.5,384258.78,-12.51,-18.0,51.02,51.02,51.02,313188.53,313188.53,313188.53,177.32
2016-11-30,38.96,83.46,69.48,38.96,555114.25,42.87,161.1,48.045,48.045,48.045,277653.41,277653.41,277653.41,256.17
2016-10-28,16.66,26.61,26.61,16.66,192.56,2.78,20.03,26.61,26.61,26.61,192.56,192.56,192.56,0.09
