date,open,high,close,low,volume,price_change,p_change,ma5,ma10,ma20,v_ma5,v_ma10,v_ma20,turnover
2018-05-17,31.95,34.0,33.8,31.09,0.0,2.94,9.62,32.986,38.236,44.732,0.0,118335.52,340751.69,0.0
2018-04-27,34.93,35.76,30.57,30.48,0.0,-4.25,-12.21,33.602,39.517,45.416,0.0,154177.56,362048.67,0.0
2018-03-30,31.61,35.16,34.82,31.32,0.0,3.07,9.67,35.58,41.526,46.405,30293.57,191369.09,386185.25,0.0
2018-02-28,33.95,34.36,31.75,28.61,0.0,-2.24,-6.59,38.102,42.892,47.233,101949.17,229506.34,413769.91,0.0
2018-01-31,37.0,37.85,33.99,33.77,0.0,-2.89,-7.84,40.868,45.238,48.424,169922.53,280519.87,445598.36,0.0
2017-12-29,40.8,40.8,36.88,34.7,0.0,-3.58,-8.85,43.486,48.13,49.627,236671.05,422463.42,482731.56,0.0
2017-11-30,47.45,49.67,40.46,39.51,151467.84,-6.97,-14.7,45.432,50.925,50.785,308355.11,579218.2,526616.24,37.87
2017-10-31,46.0,49.0,47.43,45.58,358278.0,1.85,4.06,47.472,51.818,51.818,352444.61,564131.09,564131.09,89.57
2017-09-29,47.25,48.95,45.58,44.86,339866.81,-1.5,-3.19,47.682,52.306,52.306,357063.52,587003.65,587003.65,84.97
2017-08-31,46.5,47.44,47.08,44.5,333742.59,0.47,1.01,49.608,53.146,53.146,391117.22,617895.76,617895.76,83.44
2017-07-31,50.75,53.5,46.61,44.58,358420.31,-4.05,-7.99,52.774,54.013,54.013,608255.8,658489.06,658489.06,89.61
2017-06-30,48.2,51.93,50.66,46.3,371915.34,2.18,4.5,56.418,55.247,55.247,850081.29,708500.52,708500.52,92.98
2017-05-31,55.67,56.94,48.48,46.31,381372.53,-6.73,-12.19,56.164,56.164,56.164,775817.56,775817.56,775817.56,95.34
2017-04-28,62.77,64.55,55.21,51.6,510135.31,-7.7,-12.24,58.085,58.085,58.085,874428.82,874428.82,874428.82,127.53
2017-03-31,64.8,72.8,62.91,61.71,1419435.5,-1.92,-2.96,59.043,59.043,59.043,995859.99,995859.99,995859.99,354.86
2017-02-28,54.33,68.88,64.83,54.33,1567547.75,15.44,31.26,57.11,57.11,57.11,784072.23,784072.23,784072.23,391.89
2017-01-26,37.42,49.39,49.39,37.42,596.71,6.24,20.01,49.39,49.39,49.39,596.71,596.71,596.71,0.15
