date,open,high,close,low,volume,price_change,p_change,ma5,ma10,ma20,v_ma5,v_ma10,v_ma20,turnover
2018-05-17,27.97,31.98,29.88,26.41,0.0,2.04,7.31,28.886,33.062,35.634,0.0,182361.16,336080.94,0.0
2018-04-27,30.86,33.44,27.9,27.66,0.0,-2.72,-8.88,29.254,33.796,36.113,0.0,250581.38,364087.69,0.0
2018-03-30,27.1,33.33,30.62,26.46,0.0,3.5,12.91,30.31,35.356,36.86,17219.47,362276.45,397186.57,0.0
2018-02-28,29.0,29.42,27.12,24.63,0.0,-1.79,-6.19,31.666,37.484,37.484,102516.58,436905.23,436905.23,0.0
2018-01-31,31.51,34.33,28.91,28.71,0.0,-2.81,-8.86,34.95,38.636,38.636,250681.53,485450.25,485450.25,0.0
2017-12-29,32.47,33.13,31.72,29.17,0.0,-1.46,-4.4,37.238,39.851,39.851,364722.32,546131.53,546131.53,0.0
2017-11-30,37.41,39.3,33.18,31.11,86097.37,-4.22,-11.28,38.338,41.013,41.013,501162.77,624150.32,624150.32,29.17
2017-10-31,43.68,45.19,37.4,36.82,426485.53,-6.14,-14.1,40.402,42.318,42.318,707333.42,713825.82,713825.82,144.47
2017-09-29,40.5,45.45,43.54,37.18,740824.75,3.19,7.91,43.302,43.302,43.302,771293.87,771293.87,771293.87,250.96
2017-08-31,36.99,40.6,40.35,35.4,570203.94,3.13,8.41,43.243,43.243,43.243,778911.16,778911.16,778911.16,193.16
2017-07-31,43.28,47.88,37.22,36.22,682202.25,-6.28,-14.44,44.207,44.207,44.207,848480.23,848480.23,848480.23,231.1
2017-06-30,51.0,54.49,43.5,42.2,1116950.62,-8.4,-16.18,47.7,47.7,47.7,931619.22,931619.22,931619.22,378.37
2017-05-31,26.16,55.0,51.9,26.16,746287.81,6.98,32.02,51.9,51.9,51.9,746287.81,746287.81,746287.81,252.81
