date,open,high,close,low,volume,price_change,p_change,ma5,ma10,ma20,v_ma5,v_ma10,v_ma20,turnover
2018-05-17,14.56,15.59,15.01,13.87,0.0,0.64,4.44,14.314,14.793,15.645,0.0,462353.61,506590.76,0.0
2018-04-27,13.92,16.86,14.4,13.8,0.0,0.46,3.3,14.498,14.466,15.798,0.0,536598.72,548571.24,0.0
2018-03-30,13.84,15.25,13.94,12.53,0.0,0.32,2.35,14.928,14.286,16.049,93149.56,609780.66,609242.78,0.0
2018-02-28,14.52,14.68,13.62,12.03,0.0,-0.98,-6.71,15.164,14.483,16.222,363579.01,648617.46,660146.5,0.0
2018-01-31,16.0,17.13,14.6,14.3,0.0,-1.33,-8.35,15.54,14.919,16.421,729308.86,692455.06,691879.8,0.0
2017-12-29,16.31,17.27,15.93,14.51,0.0,-0.62,-3.75,15.272,15.135,17.056,924707.22,755659.1,717757.52,0.0
2017-11-30,15.21,18.4,16.55,13.74,465747.81,1.43,9.46,14.434,15.239,17.623,1073197.44,792893.91,755812.7,9.61
2017-10-31,15.73,17.99,15.12,14.88,1352147.25,-0.38,-2.45,13.644,15.237,18.226,1126411.76,789918.73,777429.22,27.89
2017-09-29,13.26,16.26,15.5,13.02,1828649.25,2.24,16.89,13.802,15.537,18.631,933655.91,700193.48,731926.72,37.72
2017-08-31,11.73,13.74,13.26,11.13,976991.81,1.52,12.95,14.298,15.887,19.178,655601.26,582403.91,683291.97,20.15
2017-07-31,12.48,13.35,11.74,11.48,742451.06,-0.86,-6.83,14.998,16.496,20.633,586610.98,550827.9,678410.9,15.31
2017-06-30,16.0,16.08,12.6,10.9,731819.44,-3.31,-20.8,16.044,17.13,21.956,512590.38,560543.77,705129.77,15.09
2017-05-31,17.96,18.15,15.91,15.75,388367.97,-2.07,-11.51,16.83,17.812,23.119,453425.69,608704.9,723525.78,11.21
2017-04-28,16.95,18.59,17.98,16.8,438376.03,1.22,7.28,17.272,17.961,23.675,466731.06,671675.55,761127.11,12.66
2017-03-31,17.14,17.75,16.76,16.57,632040.38,-0.21,-1.24,17.476,17.922,24.169,509206.56,691304.54,797776.96,18.25
2017-02-28,16.58,17.2,16.97,16.14,372348.06,0.44,2.66,17.994,18.976,25.161,515044.83,679855.93,839125.32,10.75
2017-01-26,18.12,19.32,16.53,15.71,435996.0,-1.59,-8.78,18.216,20.006,26.834,608497.16,718731.49,869202.97,12.59
2016-12-30,19.0,19.16,18.12,17.16,454894.84,-0.88,-4.63,18.794,21.215,28.681,763984.11,764939.72,878947.62,13.14
2016-11-30,19.36,19.88,19.0,18.85,650753.5,-0.35,-1.81,18.65,21.725,29.821,876620.04,763659.96,964499.38,18.79
2016-10-31,18.2,19.97,19.35,18.06,661231.75,1.27,7.02,18.368,22.468,30.134,873402.53,784180.02,1011069.35,19.09
2016-09-30,19.39,20.23,18.08,17.8,839609.69,-1.34,-6.9,19.958,24.769,30.415,844667.03,805993.9,1014992.35,24.24
2016-08-31,17.28,20.5,19.42,16.88,1213430.75,2.02,11.61,21.796,26.781,30.627,828965.83,849715.77,1028041.97,35.04
2016-07-29,17.6,20.2,17.4,17.0,1018074.5,-0.19,-1.08,23.636,28.425,30.6,765895.33,838346.67,1020741.37,29.4
2016-06-30,27.3,28.29,17.59,16.42,634665.94,-9.71,-35.57,24.8,29.388,30.919,650699.88,850578.67,1012721.46,18.33
2016-05-31,27.31,27.95,27.3,24.96,517554.28,0.03,0.11,26.568,30.415,31.204,694957.52,904249.38,1052104.92,23.91
2016-04-29,28.6,30.5,27.27,25.74,761103.69,-1.35,-4.72,29.58,31.345,30.895,767320.76,998394.72,1151364.58,35.16
2016-03-31,23.27,30.24,28.62,22.53,898078.25,5.4,23.26,31.766,33.662,30.202,870465.7,1019674.46,1119121.91,41.49
2016-02-29,26.5,29.79,23.22,23.22,442097.25,-3.21,-12.14,33.214,36.146,29.409,910798.0,992955.52,1127924.65,20.42
2016-01-29,42.89,44.35,26.43,25.19,855954.12,-15.93,-37.61,33.976,37.917,28.76,1050457.45,1165338.8,1126103.04,39.55
2015-12-31,38.0,44.44,42.36,36.05,879370.5,4.16,10.89,34.262,37.8,28.005,1113541.25,1237958.69,1107270.75,40.63
