date,open,high,close,low,volume,price_change,p_change,ma5,ma10,ma20,v_ma5,v_ma10,v_ma20
2013-06-06,6.41,6.78,6.26,6.21,554268.69,-0.16,-2.49,6.376,6.269,6.557,1142362.35,1069579.21,1036752.07
2013-05-31,6.13,6.66,6.42,6.04,1612100.25,0.28,4.56,6.442,6.165,6.634,1283939.34,1115119.24,1049858.38
2013-04-26,6.53,6.78,6.14,6.0,710546.56,-0.29,-4.51,6.372,6.144,6.789,1183756.81,1019596.11,1064554.24
2013-03-29,6.64,7.18,6.43,6.24,1932381.88,-0.2,-3.02,6.408,6.189,6.97,1177863.15,1100859.28,1134589.29
2013-02-28,6.5,6.96,6.63,6.3,902514.38,0.04,0.61,6.312,6.227,7.117,938862.14,1156474.89,1062507.96
2013-01-31,6.11,6.8,6.59,6.02,1262153.62,0.52,8.57,6.162,6.248,7.249,996796.06,1126036.52,1064926.22
