date,open,high,close,low,volume,price_change,p_change,ma5,ma10,ma20,v_ma5,v_ma10,v_ma20,turnover
2018-05-17,3.16,3.17,3.07,3.02,0.0,-0.13,-4.06,3.478,3.769,4.167,0.0,1372072.55,2490189.02,0.0
2018-04-27,3.4,3.46,3.2,3.15,0.0,-0.21,-6.16,3.598,3.876,4.265,0.0,1654255.08,2734682.79,0.0
2018-03-30,3.6,3.68,3.41,3.21,0.0,-0.21,-5.8,3.738,3.978,4.342,116012.05,1985105.58,2951335.69,0.0
2018-02-28,4.07,4.1,3.62,3.3,0.0,-0.47,-11.49,3.886,4.075,4.39,545143.45,2505270.88,3054120.11,0.0
2018-01-31,3.67,4.61,4.09,3.67,0.0,0.42,11.44,4.012,4.219,4.445,1985274.25,3464733.58,3130823.34,0.0
2017-12-29,3.86,3.92,3.67,3.47,0.0,-0.23,-5.9,4.06,4.264,4.478,2744145.1,3704974.98,3213606.69,0.0
2017-11-30,4.17,4.21,3.9,3.77,580060.25,-0.25,-6.02,4.154,4.365,4.555,3308510.15,3923414.03,3350740.69,2.47
2017-10-31,4.31,4.36,4.15,4.05,2145657.0,-0.1,-2.35,4.218,4.43,4.629,3854199.1,3980176.09,3643642.36,9.15
2017-09-29,4.3,4.83,4.25,4.2,7200654.0,-0.08,-1.85,4.264,4.46,4.667,4465398.3,3976059.16,3731030.81,30.69
2017-08-31,4.13,4.45,4.33,4.0,3794354.25,0.19,4.59,4.426,4.525,4.708,4944192.9,3652754.44,3533193.12,16.17
2017-07-31,4.22,4.39,4.14,3.87,2821825.25,-0.08,-1.9,4.468,4.565,4.831,4665804.85,3608305.49,3636218.61,12.03
2017-06-30,4.35,4.48,4.22,4.17,3308505.0,-0.16,-3.65,4.576,4.654,4.976,4538317.9,3815110.51,3996495.19,14.1
2017-05-31,4.92,4.95,4.38,4.0,5201653.0,-0.68,-13.44,4.642,4.706,5.163,4106153.08,3917565.81,4448624.94,22.17
2017-04-28,4.9,5.48,5.06,4.59,9594627.0,0.52,11.45,4.656,4.704,5.234,3486720.03,3602969.35,4505613.72,40.9
2017-03-31,4.68,4.92,4.54,4.45,2402414.0,-0.14,-2.99,4.624,4.671,5.293,2361315.98,2796913.11,4520429.32,10.24
2017-02-28,4.55,5.08,4.68,4.44,2184390.5,0.13,2.86,4.662,4.692,5.372,2550806.13,2722238.41,4886145.17,9.31
2017-01-26,4.44,4.73,4.55,4.3,1147680.88,0.1,2.25,4.732,4.744,5.539,3091903.13,2778067.36,5381585.44,4.89
2016-12-30,4.9,5.06,4.45,4.41,2104487.75,-0.45,-9.18,4.77,4.828,5.691,3728978.55,3307108.63,6098773.45,8.97
2016-11-30,4.75,5.05,4.9,4.61,3967606.75,0.17,3.59,4.752,4.874,5.825,3719218.68,3486002.45,6662094.61,16.91
2016-10-31,4.88,5.03,4.73,4.67,3349864.75,-0.3,-5.96,4.718,4.891,5.873,3232510.25,3413631.8,7370252.68,14.28
2016-09-30,4.7,5.48,5.03,4.55,4889875.5,0.29,6.12,4.722,5.097,5.846,2893670.7,3664131.73,7405291.59,20.84
2016-08-31,4.36,5.1,4.74,4.23,4333058.0,0.38,8.72,4.756,5.297,5.806,2464231.6,4177879.88,7654318.01,18.47
2016-07-29,4.73,4.99,4.36,4.31,2055688.38,-0.37,-7.82,4.886,5.62,5.8,2885238.7,4979684.08,8204960.71,8.76
2016-06-30,4.75,4.92,4.73,4.41,1534064.62,-0.02,-0.42,4.996,5.764,5.789,3252786.22,5408258.09,8573884.49,8.44
2016-05-31,5.2,5.3,4.75,4.56,1655667.0,-0.45,-8.65,5.064,5.914,5.748,3594753.35,6243945.53,9099456.11,9.11
2016-04-29,5.34,5.58,5.2,5.08,2742680.0,-0.19,-3.52,5.472,6.052,5.686,4434592.75,7050051.93,9314979.36,15.09
2016-03-31,5.02,6.06,5.39,4.92,6438093.5,0.48,9.78,5.838,6.334,5.58,5891528.15,7985103.53,9343658.59,35.42
2016-02-29,5.05,5.76,4.91,4.75,3893426.0,-0.16,-3.16,6.354,6.553,5.47,7074129.45,8890438.28,9339280.46,21.42
2016-01-29,6.78,6.84,5.07,4.7,3243900.25,-1.72,-25.33,6.532,6.775,5.364,7563729.95,9838186.78,9250371.63,17.85
2015-12-31,7.0,7.66,6.79,6.42,5854864.0,-0.24,-3.41,6.764,6.854,5.254,8893137.7,11326873.55,9349620.41,32.21
2015-11-30,7.5,8.48,7.03,6.69,10027357.0,-0.94,-11.79,6.632,6.595,5.065,9665511.1,11146451.45,9756223.36,55.17
2015-10-30,5.95,9.0,7.97,5.73,12351100.0,2.17,37.41,6.83,6.314,4.861,10078678.9,11130756.15,9607263.84,67.95
2015-09-30,6.05,6.31,5.8,4.55,6341428.5,-0.43,-6.9,6.752,5.979,4.591,10706747.1,11430237.35,9085874.21,34.89
2015-08-31,6.12,9.79,6.23,5.21,9890939.0,0.1,1.63,7.018,5.814,4.42,12112643.6,11739510.9,8809953.96,54.42
2015-07-31,7.88,8.07,6.13,5.0,9716731.0,-1.89,-23.57,6.944,5.581,4.236,13760609.4,11954966.7,8345181.39,53.46
2015-06-30,7.62,10.61,8.02,7.01,12093196.0,0.44,5.8,6.558,5.32,4.064,12627391.8,11579906.8,7898761.08,66.53
2015-05-29,7.33,8.48,7.58,6.21,15491441.0,0.45,6.31,5.798,4.826,3.8,12182833.4,10702213.65,7367951.36,85.23
2015-04-30,5.81,7.34,7.13,5.75,13370911.0,1.27,21.67,5.206,4.387,3.561,12153727.6,9788122.65,6679541.29,73.56
