date,open,high,close,low,volume,price_change,p_change,ma5,ma10,ma20,v_ma5,v_ma10,v_ma20,turnover
2018-05-17,19.29,23.3,20.3,17.5,0.0,1.46,7.65,18.004,20.629,39.893,0.0,125113.69,172340.07,0.0
2018-04-27,18.9,21.8,19.09,17.3,0.0,0.44,2.36,17.704,21.064,42.915,0.0,173192.48,177043.53,0.0
2018-03-30,14.8,19.57,18.65,14.58,0.0,3.79,25.5,17.982,21.91,46.209,10351.93,240710.49,185494.03,0.0
2018-02-28,17.28,17.28,14.86,12.82,0.0,-2.26,-13.2,19.152,24.93,49.527,40746.22,251489.85,198175.92,0.0
2018-01-31,18.69,20.25,17.12,17.06,0.0,-1.68,-8.94,21.31,28.954,54.032,152568.21,261270.25,220368.9,0.0
2017-12-29,20.66,20.86,18.8,17.5,0.0,-1.68,-8.2,23.254,33.942,58.202,250227.37,276237.56,241323.86,0.0
2017-11-30,24.21,24.21,20.48,19.28,51759.64,-4.02,-16.41,24.424,38.609,61.362,346384.97,283462.4,250508.78,7.26
2017-10-23,25.9,26.97,24.5,23.77,151971.47,-1.15,-4.48,25.838,42.881,63.766,471069.05,288047.96,257692.34,21.31
2017-09-29,26.98,28.99,25.65,25.03,559109.94,-1.19,-4.43,30.708,47.475,66.381,462233.48,286169.83,262569.69,78.41
2017-08-31,24.65,27.44,26.84,23.75,488295.81,2.19,8.88,36.598,53.6,71.081,369972.29,255419.36,257512.27,68.48
2017-07-31,27.58,28.84,24.65,23.29,480787.97,-2.9,-10.53,44.63,59.156,76.583,302247.74,219566.46,278597.23,67.43
2017-06-30,48.5,60.48,27.55,24.5,675180.06,-21.3,-43.6,52.794,64.765,79.426,220539.84,180894.59,279625.68,94.69
2017-05-31,55.12,57.99,48.85,46.56,107793.63,-6.25,-11.34,59.924,70.508,80.69,105026.88,130277.58,274468.61,30.21
2017-04-28,67.6,67.8,55.1,52.28,97803.98,-11.9,-17.76,64.242,74.124,80.872,110106.18,144861.98,313786.79,27.09
2017-03-31,65.4,72.72,67.0,64.26,149673.08,1.53,2.34,70.602,79.109,82.017,140866.44,179467.56,367632.75,41.46
2017-02-28,62.9,69.88,65.47,62.06,72248.43,2.27,3.59,73.682,82.461,79.679,136885.18,206410.16,360155.1,20.01
2017-01-26,70.7,72.58,63.2,59.05,97615.28,-7.24,-10.28,76.736,84.114,80.426,141249.34,217555.16,375308.08,27.04
2016-12-30,86.2,87.29,70.44,66.98,133190.12,-16.46,-18.94,81.092,84.651,81.383,155528.28,227336.71,390735.46,37.16
2016-11-30,85.25,93.98,86.9,84.51,251605.28,4.5,5.46,84.006,85.286,82.027,179617.79,238969.56,405885.18,70.19
2016-10-28,82.02,85.99,82.4,82.02,129766.77,1.66,2.06,87.616,88.561,81.723,218068.68,259605.19,415527.68,36.2
2016-09-30,85.4,86.0,80.74,77.2,94069.23,-4.24,-4.99,91.24,94.009,81.677,275935.14,337628.01,434578.41,26.24
2016-08-31,84.79,92.2,84.98,81.5,169009.98,-0.03,-0.04,91.492,94.086,81.744,293860.98,378356.77,458900.49,47.15
2016-07-29,104.44,108.0,85.01,82.94,253637.69,-19.94,-19.0,88.21,90.873,81.495,299145.14,418659.65,481199.76,70.76
2016-06-30,99.53,110.99,104.95,89.0,443859.72,4.43,4.41,86.566,87.619,81.203,298321.33,482711.59,500163.27,123.82
2016-05-31,90.2,106.0,100.52,75.18,419099.06,18.52,22.59,89.506,84.924,79.044,301141.69,555797.95,505281.77,209.55
2016-03-17,66.8,82.0,82.0,65.0,183698.44,13.43,19.59,96.778,76.896,76.896,399320.88,513900.04,513900.04,91.85
2016-02-29,76.5,94.0,68.57,68.57,195430.77,-8.22,-10.71,96.68,76.329,76.329,462852.56,550589.11,550589.11,97.72
2016-01-29,117.53,122.08,76.79,72.0,249518.64,-42.86,-35.82,93.536,77.299,77.299,538174.16,594983.9,594983.9,124.76
2015-12-31,138.0,141.88,119.65,105.0,457961.56,-17.23,-12.59,88.672,77.371,77.371,667101.86,644336.08,644336.08,228.98
2015-11-30,79.0,148.99,136.88,78.3,909995.0,55.37,67.93,80.342,70.325,70.325,810454.2,675398.5,675398.5,455.0
2015-10-30,52.92,84.0,81.51,52.9,501356.81,28.66,54.23,57.014,57.014,57.014,628479.2,628479.2,628479.2,250.68
2015-09-30,50.0,57.8,52.85,43.0,572038.81,0.38,0.72,50.89,50.89,50.89,660259.8,660259.8,660259.8,286.02
2015-08-31,76.01,78.47,52.47,44.01,894157.12,-25.53,-32.73,50.237,50.237,50.237,689666.79,689666.79,689666.79,447.08
2015-07-31,22.26,88.5,78.0,22.26,1174723.25,57.76,285.38,49.12,49.12,49.12,587421.63,587421.63,587421.63,587.36
2015-06-30,16.61,20.24,20.24,16.61,120.01,5.62,43.98,20.24,20.24,20.24,120.01,120.01,120.01,0.06
