,Time,SC,EX,Brent_Adj,WTI_Adj,DIFF_Brent_SC,DIFF_WTI_SC
233,2018-04-16 11:00:00,424.8,6.2811,445.14155700000003,416.37411900000006,-20.341557000000023,8.425880999999947
234,2018-04-16 11:30:00,426.1,6.2811,445.70685599999996,417.002229,-19.606855999999937,9.097771000000023
235,2018-04-16 13:30:00,425.6,6.2811,445.51842300000004,416.813796,-19.91842300000002,8.786203999999998
236,2018-04-16 14:00:00,426.7,6.2811,444.325014,415.746009,-17.62501400000002,10.953990999999974
237,2018-04-16 14:30:00,426.1,6.2811,444.95312400000006,416.562552,-18.853124000000037,9.53744800000004
238,2018-04-16 15:00:00,424.4,6.2811,445.32999000000007,416.750985,-20.92999000000009,7.649014999999963
239,2018-04-16 21:00:00,425.3,6.2811,446.83745400000004,418.19563800000003,-21.537454000000025,7.1043619999999805
240,2018-04-16 21:30:00,426.7,6.2811,445.83247800000004,417.44190599999996,-19.13247800000005,9.258094000000028
241,2018-04-16 22:00:00,425.9,6.2811,445.83247800000004,417.630339,-19.93247800000006,8.269660999999985
242,2018-04-16 22:30:00,426.4,6.2811,446.083722,417.818772,-19.683722000000046,8.581227999999953
243,2018-04-16 23:00:00,425.9,6.2811,446.272155,417.818772,-20.37215500000002,8.081227999999953
244,2018-04-16 23:30:00,423.2,6.2811,446.083722,417.818772,-22.883722000000034,5.381227999999965
245,2018-04-17 00:00:00,423.9,6.2764,445.87545600000004,417.757184,-21.975456000000065,6.142815999999982
246,2018-04-17 00:30:00,424.3,6.2764,446.0637479999999,417.88271199999997,-21.763747999999907,6.417288000000042
247,2018-04-17 01:00:00,423.9,6.2764,445.87545600000004,417.69442,-21.975456000000065,6.205579999999998
248,2018-04-17 01:30:00,423.7,6.2764,445.81269199999997,417.50612799999993,-22.11269199999998,6.193872000000056
249,2018-04-17 02:00:00,422.9,6.2764,446.189276,417.81994799999995,-23.28927600000003,5.080052000000023
250,2018-04-17 02:30:00,422.1,6.2764,447.005208,418.76140799999996,-24.90520799999996,3.3385920000000624
251,2018-04-17 09:00:00,424.8,6.2764,441.795796,412.547772,-16.995795999999984,12.252228000000002
252,2018-04-17 09:30:00,425.2,6.2764,443.992536,414.116872,-18.792535999999984,11.083127999999988
253,2018-04-17 10:00:00,424.9,6.2764,445.498872,415.81149999999997,-20.59887200000003,9.08850000000001
254,2018-04-17 10:30:00,424.7,6.2764,445.12228799999997,415.623208,-20.42228799999998,9.076792000000012
255,2018-04-17 11:00:00,425.7,6.2764,444.933996,415.623208,-19.23399599999999,10.076792000000012
256,2018-04-17 11:30:00,425.4,6.2764,443.239368,414.618984,-17.839368000000036,10.781015999999966
257,2018-04-17 13:30:00,425.5,6.2764,443.8042439999999,415.685972,-18.304243999999926,9.814028000000008
258,2018-04-17 14:00:00,425.2,6.2764,445.18505200000004,417.38059999999996,-19.985052000000053,7.81940000000003
259,2018-04-17 14:30:00,425.2,6.2764,445.18505200000004,417.44336400000003,-19.985052000000053,7.756635999999958
260,2018-04-17 15:00:00,427.4,6.2764,445.3733439999999,417.631656,-17.97334399999994,9.768343999999956
261,2018-04-17 21:00:00,422.1,6.2764,447.44455600000003,419.38904799999995,-25.34455600000001,2.710952000000077
262,2018-04-17 21:30:00,421.7,6.2764,447.1935,419.200756,-25.493499999999983,2.499243999999976
263,2018-04-17 22:00:00,422.6,6.2764,447.38179199999996,419.514576,-24.78179199999994,3.085424000000046
264,2018-04-17 22:30:00,423.5,6.2764,447.50732,419.45181199999996,-24.007319999999993,4.048188000000039
265,2018-04-17 23:00:00,423.5,6.2764,447.758376,419.765632,-24.258376,3.7343680000000177
266,2018-04-17 23:30:00,423.9,6.2764,447.44455600000003,419.514576,-23.544556000000057,4.385424
267,2018-04-18 00:00:00,423.3,6.2854,448.400436,420.367552,-25.100436000000002,2.932448000000022
268,2018-04-18 00:30:00,423.8,6.2854,448.400436,420.367552,-24.600436000000002,3.432448000000022
